feature,mean_abs_shap,block,label
cash_min_w6_norm,0.38360725120803646,C,Saldo mínimo de caja (6 m) sobre gasto mensual
main_bank,0.3438970147896676,E,Banco principal
erp_any,0.2632969663120311,A,ERP
inv_n_counterparties_w3,0.21971176583028063,F,Contrapartidas distintas en facturas (3 m)
cash_balance_T_log,0.1877643054940448,A,Saldo de caja reconstruido a fin de mes
days_of_cash,0.16049788092942135,C,Días de caja
tenure_months,0.14159381284082037,A,Antigüedad en la plataforma
pay_bad_share_w12,0.1285933309121983,B,% facturas a pagar con más de 30 días de retraso (12 m)
n_tx_w1,0.12139133628219416,C,Transacciones en el último mes
n_tx_w3_vs_w12,0.11630420292431375,C,Actividad transaccional 3 m frente a 12 m
salary_day_mean_w3,0.10611948083917465,B,Día del mes en que se pagan las nóminas (3 m)
main_bank_share,0.0910604975532373,A,Peso del banco principal
cash_vol6,0.08357729486896963,C,Volatilidad del saldo de caja (6 m)
bank_peer_cash_neg_months_w6,0.08206313289973605,E,Meses en descubierto de empresas del mismo banco (6 m)
discarded_share_w3,0.08169827547250225,F,Movimientos descartados en conciliación (3 m)
rec_open_overdue_share_w6,0.08028618719502029,B,% facturas a cobrar vencidas y abiertas (6 m)
no_counterparty_share_w3,0.08021955411100391,F,Movimientos sin contrapartida resuelta (3 m)
sib_stress_rate_w6,0.08020059532373992,E,Términos de estrés en empresas hermanas del grupo (6 m)
sib_cash_neg_months_w6,0.07427766409072076,E,Meses en descubierto de las empresas hermanas (6 m)
sib_pay_open_overdue_w6,0.06743576092515027,E,% facturas vencidas abiertas de las empresas hermanas del grupo
pay_dpd_mean_w3,0.06589485780226263,B,Retraso medio de pago a proveedores (3 m)
pay_open_overdue_share_w3,0.06510433619610127,B,% facturas a pagar vencidas y abiertas (3 m)
inflow_w3_vs_w12,0.06487072027100275,C,Cobros últimos 3 m frente a media 12 m
bank_peer_interest_n_w6,0.06474232439155322,E,Liquidaciones de intereses de empresas del mismo banco (6 m)
pay_dpd_trend6,0.06299128596814908,B,Tendencia del retraso de pago (6 m)
resolved_inflow_share_w6,0.06273661923367066,D,Cobros con contrapartida identificada (6 m)
inflow_vol6,0.05980812663955775,C,Volatilidad de cobros (6 m)
interest_amt_ratio_w6,0.0587143682880588,C,Intereses/comisiones de descubierto sobre pagos (6 m)
fee_amt_ratio_w6,0.05773953834784572,C,Comisiones sobre pagos (6 m)
pay_open_overdue_share_w12,0.05654421929280266,B,% facturas a pagar vencidas y abiertas (12 m)
pay_dpd_mean_w6,0.05634314794448571,B,Retraso medio de pago a proveedores (6 m)
pay_bad_share_w6,0.05543720684684538,B,% facturas a pagar con más de 30 días de retraso (6 m)
inflow_w6_log,0.05259291039142109,C,Cobros (6 m)
tax_amt_ratio_w3_w12,0.05226081540203335,B,Impuestos pagados 3 m frente a media 12 m
